Date,code,open,high,low,close,volume,dividends,stock splits
2010-08-12,1398.HK,3.537,3.537,3.537,3.537,0,0.0,0.0
2010-08-12,1928.HK,7.522,7.6,7.468999999999999,7.483,9419550,0.0,0.0
2010-08-12,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-13,0001.HK,48.93600000000001,49.653999999999996,48.361000000000004,48.648999999999994,10260968,0.0,0.0
2010-08-13,0011.HK,70.07,70.07,69.097,69.291,1336566,1.1,0.0
2010-08-13,0027.HK,5.007,5.111000000000001,4.94,5.083,6011500,0.0,0.0
2010-08-13,1398.HK,3.537,3.562,3.525,3.55,182789094,0.0,0.0
2010-08-13,1928.HK,7.561,7.744,7.443,7.496,9109600,0.0,0.0
2010-08-13,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-16,0001.HK,47.643,47.882,47.068000000000005,47.595,11007556,0.0,0.0
2010-08-16,0011.HK,69.097,70.654,69.097,70.39399999999999,1354369,0.0,0.0
2010-08-16,0027.HK,4.997,5.167999999999999,4.978,5.14,4118000,0.0,0.0
2010-08-16,1398.HK,3.525,3.593,3.525,3.575,150612075,0.0,0.0
2010-08-16,1928.HK,7.273,7.561,7.273,7.352,18533200,0.0,0.0
2010-08-16,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-17,0001.HK,47.308,48.601000000000006,47.26,47.978,6891668,0.0,0.0
2010-08-17,0011.HK,70.2,70.589,69.745,69.81,922570,0.0,0.0
2010-08-17,0027.HK,5.13,5.187,5.111000000000001,5.14,5109000,0.0,0.0
2010-08-17,1398.HK,3.5810000000000004,3.5810000000000004,3.5439999999999996,3.568,70559700,0.0,0.0
2010-08-17,1928.HK,7.404,7.547999999999999,7.2989999999999995,7.365,7605600,0.0,0.0
2010-08-17,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-18,0001.HK,48.888000000000005,48.888000000000005,47.882,48.17,8071434,0.0,0.0
2010-08-18,0011.HK,70.07,70.135,69.291,69.875,1285941,0.0,0.0
2010-08-18,0027.HK,5.111000000000001,5.462999999999999,5.111000000000001,5.406000000000001,7549064,0.0,0.0
2010-08-18,1398.HK,3.537,3.537,3.537,3.537,0,0.0,0.0
2010-08-18,1928.HK,7.5089999999999995,7.7829999999999995,7.5089999999999995,7.692,25358044,0.0,0.0
2010-08-18,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-19,0001.HK,48.601000000000006,48.792,47.882,48.313,8464736,0.0,0.0
2010-08-19,0011.HK,70.005,70.07,69.291,69.551,1363522,0.0,0.0
2010-08-19,0027.HK,5.462999999999999,5.692,5.425,5.482,11563000,0.0,0.0
2010-08-19,1398.HK,3.562,3.562,3.562,3.562,0,0.0,0.0
2010-08-19,1928.HK,7.901,8.084,7.796,7.98,22439437,0.0,0.0
2010-08-19,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-20,0001.HK,47.882,48.074,47.211999999999996,47.739,4781186,0.0,0.0
2010-08-20,0011.HK,69.421,69.68,69.097,69.551,1214035,0.0,0.0
2010-08-20,0027.HK,5.462999999999999,5.977,5.435,5.816,15668400,0.0,0.0
2010-08-20,1398.HK,3.512,3.531,3.4939999999999998,3.5189999999999997,135714367,0.0,0.0
2010-08-20,1928.HK,7.992999999999999,8.176,7.836,8.11,9873980,0.0,0.0
2010-08-20,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-23,0001.HK,47.691,47.882,47.38,47.571000000000005,3967019,0.0,0.0
2010-08-23,0011.HK,69.94,70.07,69.486,70.005,936588,0.0,0.0
2010-08-23,0027.HK,5.806,6.044,5.672999999999999,5.968,7834233,0.0,0.0
2010-08-23,1398.HK,3.5,3.5,3.5,3.5,0,0.0,0.0
2010-08-23,1928.HK,8.058,8.163,8.006,8.045,5944276,0.0,0.0
2010-08-23,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-24,0001.HK,47.523,47.523,46.302,46.542,7634199,0.0,0.0
2010-08-24,0011.HK,70.005,70.459,69.551,69.551,949739,0.0,0.0
2010-08-24,0027.HK,5.892,6.0729999999999995,5.797000000000001,5.806,7367800,0.0,0.0
2010-08-24,1398.HK,3.5,3.5,3.5,3.5,0,0.0,0.0
2010-08-24,1928.HK,7.81,7.98,7.77,7.888,10225288,0.0,0.0
2010-08-24,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-25,0001.HK,46.446000000000005,47.163999999999994,46.254,46.733000000000004,7359825,0.0,0.0
2010-08-25,0011.HK,69.226,69.875,69.097,69.097,1025200,0.0,0.0
2010-08-25,0027.HK,5.711,5.806,5.53,5.682,7278179,0.0,0.0
2010-08-25,1398.HK,3.4560000000000004,3.5060000000000002,3.45,3.4810000000000003,221535040,0.0,0.0
2010-08-25,1928.HK,7.81,7.836,7.626,7.7829999999999995,5511600,0.0,0.0
2010-08-25,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-26,0001.HK,47.284,47.38,46.853,46.973,4011207,0.0,0.0
2010-08-26,0011.HK,69.745,69.745,69.291,69.486,567659,0.0,0.0
2010-08-26,0027.HK,5.692,5.72,5.521,5.654,6527564,0.0,0.0
2010-08-26,1398.HK,3.469,3.4939999999999998,3.469,3.475,169845904,0.0,0.0
2010-08-26,1928.HK,8.11,8.11,7.836,8.032,8150822,0.0,0.0
