code,in_time,out_time
600666,2016-06-13,2017-06-12
600674,2005-04-08,2007-01-04
600674,2009-01-05,
600675,2005-04-08,2012-01-04
600682,2017-06-12,2018-12-17
600685,2007-07-02,2010-07-29
600685,2016-06-13,2018-06-11
600688,2013-12-16,2019-12-16
600688,2005-04-08,2011-01-04
600690,2005-04-08,
600694,2005-04-08,2014-06-16
600703,2011-01-04,
600704,2016-06-13,2019-12-16
600705,2005-04-08,2006-07-03
600705,2013-12-16,
600707,2005-04-08,2006-07-03
600710,2005-04-08,2005-07-01
600717,2015-06-15,2016-06-13
600717,2005-04-08,2012-01-04
600718,2009-07-01,2017-12-11
600718,2005-04-08,2009-01-05
600724,2005-04-08,2007-05-18
600726,2005-04-08,2006-07-03
600733,2019-06-17,2020-06-15
600737,2016-06-13,2017-12-11
600737,2009-01-05,2012-07-02
600739,2005-04-08,2019-06-17
600740,2005-07-01,2007-01-04
600741,2005-04-08,
600744,2005-04-08,2006-07-03
600745,2020-06-15,
600747,2005-04-08,2009-07-01
600748,2005-04-08,2005-07-01
600748,2007-01-04,2011-07-01
600754,2016-12-12,2017-06-12
600754,2006-07-03,2008-07-01
600757,2005-04-08,2005-07-01
600760,2018-12-17,
600761,2005-04-08,2005-07-01
600761,2007-01-04,2009-07-01
600770,2012-01-04,2013-07-01
600770,2005-04-08,2010-01-04
600779,2005-04-08,2013-12-16
600780,2005-04-08,2009-07-01
600782,2009-07-01,2010-07-01
600783,2012-01-04,2017-06-12
600786,2005-07-01,2008-03-18
600787,2007-01-04,2009-01-05
600790,2005-04-08,2006-07-03
600795,2005-04-08,
600797,2005-04-08,2009-01-05
600804,2008-07-01,2018-12-17
600805,2005-04-08,2006-07-03
600808,2005-04-08,2012-07-02
600809,2006-07-03,2015-12-14
600809,2018-06-11,
600811,2005-04-08,2014-06-16
600812,2005-04-08,2013-01-04
600816,2016-06-13,2020-06-15
600816,2009-07-01,2010-07-01
600820,2015-12-14,2018-12-17
600820,2005-04-08,2011-01-04
600823,2011-01-04,2012-01-04
600827,2012-07-02,2018-06-11
600827,2011-08-23,2012-01-04
600832,2005-04-08,2015-05-20
600834,2006-07-03,2007-07-02
600835,2005-04-08,2011-01-04
600837,2007-07-02,
600838,2005-04-08,2005-07-01
600839,2005-04-08,2017-06-12
600848,2019-12-16,
600851,2005-04-08,2009-01-05
600854,2005-04-08,2007-01-04
600859,2008-07-01,2010-07-01
600859,2011-07-01,2014-06-16
600859,2007-07-02,2008-01-02
600863,2005-04-08,2009-07-01
600863,2010-07-01,2016-12-12
600866,2005-04-08,2006-07-03
600867,2018-06-11,
600867,2014-06-16,2017-06-12
600868,2005-04-08,2008-07-01
600871,2016-06-13,2018-06-11
600871,2005-04-08,2007-07-02
600873,2012-01-04,2017-06-12
600874,2005-04-08,2010-07-01
600875,2006-07-03,2017-06-12
600879,2005-04-08,2012-07-02
600880,2014-06-16,2015-06-15
600881,2005-04-08,2013-12-16
600884,2005-04-08,2007-07-02
600886,2005-04-08,2011-01-04
600886,2013-01-04,
600887,2011-01-04,
600887,2005-04-08,2009-07-01
600893,2011-01-04,
600894,2005-04-08,2007-01-23
600895,2015-12-14,2018-06-11
600895,2005-04-08,2014-12-15
600900,2005-04-08,
600909,2017-06-12,2019-06-17
600919,2017-06-12,
600926,2017-06-12,
600928,2019-12-16,
600958,2015-06-15,
600959,2015-12-14,2018-12-17
600961,2007-07-02,2009-07-01
600961,2005-07-01,2006-01-01
600968,2019-12-16,
600970,2009-07-01,2014-06-16
600970,2006-07-03,2007-07-02
600971,2011-07-01,2014-06-16
600977,2017-06-12,
600978,2008-01-02,2009-07-01
600989,2019-12-16,
600997,2005-04-08,2014-06-16
600998,2018-12-17,
600998,2014-06-16,2016-12-12
600998,2011-07-01,2012-01-04
600999,2010-07-01,
601001,2007-01-04,2014-06-16
601002,2007-07-02,2008-07-01
601003,2010-07-01,2011-01-04
601003,2008-01-02,2009-07-01
601005,2008-01-02,2010-01-04
601006,2006-08-15,
601009,2008-01-02,
