pair_id,cash_inflow,order_time
1085.0,-60.0,2019-07-09 09:17:00
1087.0,28.0,2019-07-09 09:27:00
1089.0,-6.0,2019-07-09 09:31:00
1091.0,86.0,2019-07-09 09:53:00
1093.0,84.0,2019-07-09 10:04:00
1095.0,65.0,2019-07-09 10:23:00
1097.0,-15.0,2019-07-09 10:24:00
1099.0,-12.0,2019-07-09 10:25:00
1101.0,1.0,2019-07-09 10:26:00
1103.0,-5.0,2019-07-09 10:33:00
1105.0,-26.0,2019-07-09 10:40:00
1107.0,8.0,2019-07-09 10:50:00
1109.0,-23.0,2019-07-09 10:52:00
1111.0,40.0,2019-07-09 11:01:00
1113.0,-13.0,2019-07-09 11:17:00
1115.0,6.0,2019-07-09 11:32:00
1117.0,-27.0,2019-07-09 11:41:00
1119.0,-11.0,2019-07-09 11:50:00
1121.0,22.0,2019-07-09 13:19:00
1123.0,5.0,2019-07-09 13:28:00
1125.0,-10.0,2019-07-09 13:32:00
1127.0,-9.0,2019-07-09 13:35:00
1129.0,16.0,2019-07-09 13:47:00
1131.0,3.0,2019-07-09 13:54:00
1133.0,35.0,2019-07-09 14:06:00
1135.0,10.0,2019-07-09 14:14:00
1137.0,1.0,2019-07-09 14:16:00
1139.0,-3.0,2019-07-09 14:21:00
1141.0,-11.0,2019-07-09 14:24:00
1143.0,13.0,2019-07-09 14:55:00
1145.0,-9.0,2019-07-09 15:05:00
1147.0,-2.0,2019-07-09 15:12:00
1149.0,2.0,2019-07-09 15:14:00
1151.0,-13.0,2019-07-09 15:16:00
1153.0,-7.0,2019-07-09 15:23:00
1155.0,17.0,2019-07-09 15:42:00
1157.0,-17.0,2019-07-09 15:46:00
1159.0,-3.0,2019-07-09 15:57:00
1161.0,-6.0,2019-07-09 16:02:00
1163.0,-7.0,2019-07-09 16:13:00
1165.0,-11.0,2019-07-09 16:19:00
1167.0,-5.0,2019-07-09 16:24:00
1169.0,-19.0,2019-07-09 16:30:00
1171.0,-5.0,2019-07-09 17:24:00
1173.0,-8.0,2019-07-09 17:33:00
1175.0,-13.0,2019-07-09 17:40:00
1177.0,-3.0,2019-07-09 17:48:00
1179.0,-8.0,2019-07-09 17:53:00
1181.0,9.0,2019-07-09 18:05:00
1183.0,-9.0,2019-07-09 18:07:00
1185.0,-2.0,2019-07-09 18:18:00
1187.0,-8.0,2019-07-09 18:23:00
1189.0,10.0,2019-07-09 18:48:00
1191.0,-11.0,2019-07-09 18:51:00
1193.0,-9.0,2019-07-09 18:56:00
1195.0,2.0,2019-07-09 19:08:00
1197.0,1.0,2019-07-09 19:14:00
1199.0,1.0,2019-07-09 19:16:00
1201.0,-3.0,2019-07-09 19:36:00
1203.0,1.0,2019-07-09 19:44:00
1205.0,-9.0,2019-07-09 19:48:00
1207.0,-1.0,2019-07-09 19:57:00
