code,time_key,cumulative_cash_inflow,holding
HK_FUTURE.999010,2019-07-05 09:51:00,-29409.0,1
HK_FUTURE.999010,2019-07-05 09:53:00,28207.0,-1
HK_FUTURE.999010,2019-07-05 10:07:00,-29337.0,1
HK_FUTURE.999010,2019-07-05 10:10:00,28221.0,-1
HK_FUTURE.999010,2019-07-05 10:12:00,-29325.0,1
HK_FUTURE.999010,2019-07-05 10:46:00,28537.0,-1
HK_FUTURE.999010,2019-07-05 10:56:00,-29289.0,1
HK_FUTURE.999010,2019-07-05 11:00:00,28525.0,-1
HK_FUTURE.999010,2019-07-05 11:07:00,-29307.0,1
HK_FUTURE.999010,2019-07-05 11:12:00,28451.0,-1
HK_FUTURE.999010,2019-07-05 11:26:00,-29285.0,1
HK_FUTURE.999010,2019-07-05 11:44:00,28487.0,-1
HK_FUTURE.999010,2019-07-05 11:46:00,-29285.0,1
HK_FUTURE.999010,2019-07-05 11:47:00,28471.0,-1
HK_FUTURE.999010,2019-07-05 11:59:00,-29285.0,1
HK_FUTURE.999010,2019-07-05 13:01:00,28461.0,-1
HK_FUTURE.999010,2019-07-05 13:17:00,-29321.0,1
HK_FUTURE.999010,2019-07-05 13:20:00,28429.0,-1
HK_FUTURE.999010,2019-07-05 13:25:00,-29381.0,1
HK_FUTURE.999010,2019-07-05 13:34:00,28433.0,-1
HK_FUTURE.999010,2019-07-05 13:37:00,-29393.0,1
HK_FUTURE.999010,2019-07-05 13:41:00,28403.0,-1
HK_FUTURE.999010,2019-07-05 13:47:00,-29405.0,1
HK_FUTURE.999010,2019-07-05 13:48:00,28393.0,-1
HK_FUTURE.999010,2019-07-05 13:49:00,-29413.0,1
HK_FUTURE.999010,2019-07-05 13:52:00,28379.0,-1
HK_FUTURE.999010,2019-07-05 13:56:00,-29427.0,1
HK_FUTURE.999010,2019-07-05 14:05:00,28347.0,-1
HK_FUTURE.999010,2019-07-05 14:23:00,-29411.0,1
HK_FUTURE.999010,2019-07-05 14:27:00,28327.0,-1
HK_FUTURE.999010,2019-07-05 14:32:00,-29425.0,1
HK_FUTURE.999010,2019-07-05 14:35:00,28299.0,-1
HK_FUTURE.999010,2019-07-05 14:54:00,-29391.0,1
HK_FUTURE.999010,2019-07-05 14:57:00,28295.0,-1
HK_FUTURE.999010,2019-07-05 15:00:00,-29411.0,1
HK_FUTURE.999010,2019-07-05 15:04:00,28237.0,-1
HK_FUTURE.999010,2019-07-05 15:13:00,-29405.0,1
HK_FUTURE.999010,2019-07-05 15:18:00,28221.0,-1
HK_FUTURE.999010,2019-07-05 15:22:00,-29433.0,1
HK_FUTURE.999010,2019-07-05 15:27:00,28197.0,-1
HK_FUTURE.999010,2019-07-05 15:31:00,-29453.0,1
HK_FUTURE.999010,2019-07-05 15:37:00,28187.0,-1
HK_FUTURE.999010,2019-07-05 15:48:00,-29439.0,1
HK_FUTURE.999010,2019-07-05 15:51:00,28161.0,-1
HK_FUTURE.999010,2019-07-05 15:58:00,-29469.0,1
HK_FUTURE.999010,2019-07-05 16:06:00,28159.0,-1
HK_FUTURE.999010,2019-07-05 17:24:00,-29413.0,1
HK_FUTURE.999010,2019-07-05 17:30:00,28155.0,-1
HK_FUTURE.999010,2019-07-05 17:33:00,-29433.0,1
HK_FUTURE.999010,2019-07-05 17:39:00,28129.0,-1
HK_FUTURE.999010,2019-07-05 17:55:00,-29427.0,1
HK_FUTURE.999010,2019-07-05 17:59:00,28111.0,-1
HK_FUTURE.999010,2019-07-05 18:04:00,-29445.0,1
HK_FUTURE.999010,2019-07-05 18:30:00,28147.0,-1
HK_FUTURE.999010,2019-07-05 18:43:00,-29425.0,1
HK_FUTURE.999010,2019-07-05 18:46:00,28137.0,-1
